"EdgeBetweenness","GNC","interaction","name","selected","shared interaction","shared name","Weight"
"126.73190231231432","0.5","interacts with","ANLN (interacts with) CCNB1","false","interacts with","ANLN (interacts with) CCNB1","0.8881"
"12.038395631689738","0.5","interacts with","NEK2 (interacts with) NUF2","false","interacts with","NEK2 (interacts with) NUF2","0.8632"
"84.81770130454352","0.3333333432674408","interacts with","COL8A1 (interacts with) NTM","false","interacts with","COL8A1 (interacts with) NTM","0.8344"
"9.348066031103363","0.5","interacts with","NEK2 (interacts with) RACGAP1","false","interacts with","NEK2 (interacts with) RACGAP1","0.8218"
"106.78757791915709","0.3333333432674408","interacts with","COL8A1 (interacts with) SUGCT","false","interacts with","COL8A1 (interacts with) SUGCT","0.8447"
"179.72830538552498","0.3333333432674408","interacts with","ANLN (interacts with) CENPI","false","interacts with","ANLN (interacts with) CENPI","0.8807"
"7.6877251953412955","0.3333333432674408","interacts with","NEK2 (interacts with) RAD51AP1","false","interacts with","NEK2 (interacts with) RAD51AP1","0.8546"
"8.896031746031746",,"interacts with","CORIN (interacts with) EDIL3","false","interacts with","CORIN (interacts with) EDIL3","0.8225"
"8.884079810925188","0.3333333432674408","interacts with","NEK2 (interacts with) SHCBP1","false","interacts with","NEK2 (interacts with) SHCBP1","0.8171"
"8.88888888888889",,"interacts with","CORIN (interacts with) ETV1","false","interacts with","CORIN (interacts with) ETV1","0.8494"
"290.7796302762773","0.5","interacts with","ANLN (interacts with) DTL","false","interacts with","ANLN (interacts with) DTL","0.8258"
"35.16326836763294","0.5","interacts with","NEK2 (interacts with) STIL","false","interacts with","NEK2 (interacts with) STIL","0.8265"
"45.26740650646224",,"interacts with","CORIN (interacts with) PDGFC","false","interacts with","CORIN (interacts with) PDGFC","0.8083"
"131.29366398837465","0.3333333432674408","interacts with","ANLN (interacts with) EXO1","false","interacts with","ANLN (interacts with) EXO1","0.8497"
"12.712852871061468","0.5","interacts with","NEK2 (interacts with) TOP2A","false","interacts with","NEK2 (interacts with) TOP2A","0.8506"
"177.4034279136755",,"interacts with","CORIN (interacts with) SUGCT","false","interacts with","CORIN (interacts with) SUGCT","0.8103"
"9.5145279840932","0.5","interacts with","NEK2 (interacts with) TPX2","false","interacts with","NEK2 (interacts with) TPX2","0.868"
